,Tensor_name,DUCT_I1,DUCT_I2,2D_XY_I1,2D_XY_I2,2D_XZ_I1,2D_XZ_I2,2D_YZ_I1,2D_YZ_I2
0,B1,1,1,1,1,1,1,1,1
1,B2,0,1,0,1,0,1,0,1
2,B3,1,1,1,1,1,1,1,1
3,B4,1,1,1,1,1,1,1,1
4,B5,1,1,1,1,1,1,1,1
5,B6,0,1,0,1,0,1,0,1
6,B7,1,1,1,1,1,1,1,1
7,B8,0,1,0,1,0,1,0,1
8,B9,0,1,1,0,1,0,1,0
9,B10,1,1,1,0,1,0,1,0
10,B11,1,1,0,0,0,0,0,0
11,B12,0,1,1,0,1,0,1,0
12,B13,1,1,1,0,1,0,1,0
13,B14,1,1,0,0,0,0,0,0
14,B15,1,1,0,0,0,0,0,0
15,B16,1,1,1,1,1,1,1,1
16,B17,1,1,0,0,0,0,0,0
17,B18,0,1,0,0,0,0,0,0
18,B19,1,1,0,0,0,0,0,0
19,B20,0,1,0,0,0,0,0,0
20,B21,1,1,1,0,1,0,1,0
21,B22,0,1,0,0,0,0,0,0
22,B23,0,1,0,0,0,0,0,0
23,B24,0,1,0,0,0,0,0,0
24,B25,1,1,1,0,1,0,1,0
25,B26,0,1,0,0,0,0,0,0
26,B27,1,1,0,0,0,0,0,0
27,B28,0,1,0,0,0,0,0,0
28,B29,1,1,1,0,1,0,1,0
29,B30,0,1,0,0,0,0,0,0
30,B31,0,1,0,0,0,0,0,0
31,B32,0,1,0,0,0,0,0,0
32,B33,1,1,1,0,1,0,1,0
33,B34,0,1,1,0,1,0,1,0
34,B35,1,1,1,0,1,0,1,0
35,B36,1,1,0,0,0,0,0,0
36,B37,1,1,0,0,0,0,0,0
37,B38,0,1,0,0,0,0,0,0
38,B39,0,1,0,0,0,0,0,0
39,B40,1,1,0,0,0,0,0,0
40,B41,1,1,0,0,0,0,0,0
41,B42,0,1,1,0,1,0,1,0
42,B43,1,1,1,0,1,0,1,0
43,B44,1,1,1,0,1,0,1,0
44,B45,0,1,1,0,1,0,1,0
45,B46,0,1,1,0,1,0,1,0
46,B47,0,1,0,0,0,0,0,0
